,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
42,All In Time,TIME,Catshot,CATS,Dough Bro,BRO,Half Delayed,HALF,Jose,JOSE,Miss Gradenko,grad,Proverbial,PROV,Sludge & Death,DEAT,The Stroke,stro,Wish You Were Here,wywh
43,All Night Long,alnl,Celtic Alleluia,celt,Down Under,down,Halloween Medley,HWNM,Jump,jump,Miss Tinkle's Overture,MISS,Prowler,PROW,Smell the Mitten,MITT,The Triple Wide,3WID,With a Little Help from My Friends,lhmf
44,All Things Ninja,NINJ,Cemetery Walk,WLK1,Downtrodden,DWNT,Halloween theme,hwnt,Jumpin' Jack Wedding Party (All the Time),jack,Miss You,misu,Punchable Face,PFAC,Snake Juice,JUIC,The Triple Wide/Robot Rock,3wnr,Wizard Burial Ground,WIZ
45,Alright,alri,Cemetery Walk II,WLK2,Dr. Feelgood,flgd,Handshake Drugs,drug,Junct,junc,Mixed Bizness,bizn,Puppet String,PUPS,So Far Away,far,The Trooper,troo,Women Wine and Song,WINE
46,Always Up,alup,Chameleon,chml,Draconian,DRAC,Hang Up Your Hang Ups,hang,Just What I Needed,jwin,Moby Dick,moby,Push & Pull,PUSH,So What,sowt,The Way You Rule the World,rule,Words,WORD
47,Amazing Grace,agra,Chapter 1,CH1,Dream Team,DRTM,Hanging Chads,CHAD,Just a Friend,jufr,Modern Love,mode,Push the Booth Deeper,PTBD,Sociable Jimmy,SJIM,The Weight,weig,Workin' for a Livin',work
48,Amble On,AMBL,Chapter 10,CH10,Dreams,dram,Hangover,HANG,Just a Gigolo,gigo,Mondo Garaj,gara,Push the Pig,PIG,Solfegietto,slfg,The Weight Around,WEIG,XRT Xmas Promo Medley,XRT
49,America the Beautiful,btfl,Chapter 11,CH11,Drift Away,drif,Happiness is a Warm Gun,hiwg,Just the Two of Us,2ofu,Money For Nothing,m4no,Q*Bert,QBER,Solo - Bass,BASS,Thela Hun Ginjeet,ginj,Xmas at Wartime,XMAS
50,Anarchy in the U.K.,anuk,Chapter 12,CH12,Drink My Drank,DRAN,Happy Birthday,hbd,Kabump,kabu,Mood for a Day,mood,REW,REW,Solo - Drums,SDRM,Them Bones,bone,Xxplosive,xxpl
51,Anchor Drops,ANCH,Chapter 13,CH13,Driven to Tears,tear,Have A Cigar,cigr,Kashmir,kash,Moogasauras Rex,REX,Rainbow Country,bowc,Solo - Percussion,PERC,There's No Crying In Mexico,MEXI,YYZ,yyz
52,Andy's Last Beer,ANDY,Chapter 14,CH14,Drums,DRUM,Headphones & Snowcones,HPSC,Kat's Tune,kats,Morning Song,MORN,Rainy Day Women #12 & 35,420,Solo - Piano,PIAN,Theresa,THER,Yoga Pants,YOGA
53,Angular Momentum,ANMO,Chapter 15,CH15,Duck Butter,DUCK,Heart and Soul,hnsl,Keefer,KEEF,Mother,moth,Ramble On,ramb,Soul Food I,sol1,Thin Air,THIN,You & You Alone,ALON
54,Another Brick in the Wall,abiw,Chapter 16,CH16,Dump City,DUMP,Heights,heig,Kid Charlemagne,kidc,Motherless Children,mthr,Rapper's Delight,rapp,Soul Food II,sol2,Things Can Only Get Better,thin,You Can't Always Get What You Want,ycag
55,Another Brick in the Wall/Thriller,abnt,Chapter 17,CH17,E.T.I.,eti,Hells Bells,hebe,Kielbasa,kiel,Move Your Rug,rug,Raspberry Beret,rasp,Soul Food III,SOL3,Through the Cracks,CRAC,You Can't Blame the Youth,byth
56,Anthem,anth,Chapter 18,CH18,East Nashville Easter,east,Help On the Way,help,Kimble,KIMB,Moving In Stereo,ster,Rastaman Chant,chan,Southern Cross,sthx,Thunder Kiss '65,ks65,You Got the Love,uluv
57,Apeman,ape,Chapter 19,CH19,Easy,easy,Helter Skelter,skel,King of Pain,kofp,Much Obliged,OBLI,Raymond,RAYM,Space Funk Booty,sfb,Thunderstruck,thnd,You Got the Wrong Guy,WGUY
58,Ask Me No Questions,noqs,Chapter 2,CH2,Eat,EAT,Her Majesty,maje,Kinky Reggae,kink,Muff II: The Revenge,MUF2,Rebubula,rebu,Space Oddity,spce,Time,time,You Gotta Move,gotm
59,At Last,last,Chapter 20,CH20,Eclipse,ecli,Hey Nineteen,h19,Kiss Me Deadly,ksmd,Muffburger Sandwich,MUFB,Red,red,Spain,spai,Tiny Cities Made of Ashes,ash,You Know What I Mean,kwim
